"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-01-01","2017","01","01","","-10.9","","-19.2","","-15.1","","33.1","","0.0","","","M","","M","0.0","","32","","32","","41",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-01-02","2017","01","02","","-18.6","","-22.5","","-20.6","","38.6","","0.0","","","M","","M","0.0","","31","","35","","32",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-01-03","2017","01","03","","-20.8","","-25.5","","-23.2","","41.2","","0.0","","","M","","M","0.0","","31","","33","","35",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-01-04","2017","01","04","","-19.8","","-22.4","","-21.1","","39.1","","0.0","","","M","","M","0.0","","33","","33","","33",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-01-05","2017","01","05","","-15.2","","-24.6","","-19.9","","37.9","","0.0","","","M","","M","0.2","","33","","33","","37",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-01-06","2017","01","06","","-14.1","","-19.7","","-16.9","","34.9","","0.0","","","M","","M","0.4","","34","","33","","52",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-01-07","2017","01","07","","-14.4","","-20.7","","-17.6","","35.6","","0.0","","","M","","M","0.0","","37","","27","","37",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-01-08","2017","01","08","","-13.8","","-23.5","","-18.7","","36.7","","0.0","","","M","","M","0.2","","36","","34","","52",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-01-09","2017","01","09","","-19.0","","-25.3","","-22.2","","40.2","","0.0","","","M","","M","0.2","","39","","19","","32",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-01-10","2017","01","10","","-18.0","","-23.8","","-20.9","","38.9","","0.0","","","M","","M","1.3","","40","","33","","48",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-01-11","2017","01","11","","-22.6","","-27.6","","-25.1","","43.1","","0.0","","","M","","M","0.2","","47","","31","","37",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-01-12","2017","01","12","","-26.3","E","-28.6","E","-27.5","E","45.5","E","0.0","E","","M","","M","","M","47","","35","","54",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-01-13","2017","01","13","","-20.7","","-28.3","","-24.5","","42.5","","0.0","","","M","","M","0.0","","46","","17","","61",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-01-14","2017","01","14","","-7.3","","-21.7","","-14.5","","32.5","","0.0","","","M","","M","0.0","","46","","19","","43",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-01-15","2017","01","15","","-1.2","","-9.7","","-5.5","","23.5","","0.0","","","M","","M","0.0","","46","","20","","44",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-01-16","2017","01","16","","-3.6","","-11.9","","-7.8","","25.8","","0.0","","","M","","M","0.0","","45","","18","","39",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-01-17","2017","01","17","","-0.3","","-7.9","","-4.1","","22.1","","0.0","","","M","","M","0.0","","45","","17","","56",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-01-18","2017","01","18","","-0.2","","-7.5","","-3.9","","21.9","","0.0","","","M","","M","0.0","","43","","15","","46",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-01-19","2017","01","19","","-1.4","","-6.5","","-4.0","","22.0","","0.0","","","M","","M","0.0","","43","","17","","41",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-01-20","2017","01","20","","1.2","","-7.2","","-3.0","","21.0","","0.0","","","M","","M","0.0","","42","","16","","37",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-01-21","2017","01","21","","1.8","","0.5","","1.2","","16.8","","0.0","","","M","","M","1.8","","42","","","","<31",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-01-22","2017","01","22","","0.9","","0.2","","0.6","","17.4","","0.0","","","M","","M","0.4","","40","","","","<31",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-01-23","2017","01","23","","0.6","","-0.7","","-0.1","","18.1","","0.0","","","M","","M","4.0","","39","","","","<31",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-01-24","2017","01","24","","","M","-5.5","E","","M","","M","","M","","M","","M","","M","42","","34","","35",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-01-25","2017","01","25","","-6.6","","-12.4","","-9.5","","27.5","","0.0","","","M","","M","0.0","","46","","32","","37",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-01-26","2017","01","26","","-7.1","","-12.9","","-10.0","","28.0","","0.0","","","M","","M","0.0","","45","","31","","39",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-01-27","2017","01","27","","-4.9","","-9.2","","-7.1","","25.1","","0.0","","","M","","M","0.0","","45","","36","","46",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-01-28","2017","01","28","","-8.6","","-20.2","","-14.4","","32.4","","0.0","","","M","","M","0.0","","45","","35","","39",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-01-29","2017","01","29","","-10.4","","-22.9","","-16.7","","34.7","","0.0","","","M","","M","0.2","","45","","17","","39",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-01-30","2017","01","30","","-7.9","","-11.1","","-9.5","","27.5","","0.0","","","M","","M","1.0","","45","","17","","32",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-01-31","2017","01","31","","-8.5","","-19.5","","-14.0","","32.0","","0.0","","","M","","M","0.7","","50","","36","","52",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-02-01","2017","02","01","","-19.4","","-22.1","","-20.8","","38.8","","0.0","","","M","","M","0.0","","49","","32","","50",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-02-02","2017","02","02","","-15.4","","-22.5","","-19.0","","37.0","","0.0","","","M","","M","0.0","","45","","32","","52",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-02-03","2017","02","03","","-13.5","","-17.6","","-15.6","","33.6","","0.0","","","M","","M","0.0","","45","","32","","35",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-02-04","2017","02","04","","-13.8","","-21.3","","-17.6","","35.6","","0.0","","","M","","M","0.0","","45","","33","","44",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-02-05","2017","02","05","","-19.4","","-24.2","","-21.8","","39.8","","0.0","","","M","","M","0.0","","47","","29","","32",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-02-06","2017","02","06","","-21.4","","-25.9","","-23.7","","41.7","","0.0","","","M","","M","0.0","","47","","","","<31",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-02-07","2017","02","07","","-20.3","","-23.6","","-22.0","","40.0","","0.0","","","M","","M","0.0","","47","","","","<31",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-02-08","2017","02","08","","-18.2","","-23.7","","-21.0","","39.0","","0.0","","","M","","M","0.0","","47","","26","","39",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-02-09","2017","02","09","","-13.5","","-21.5","","-17.5","","35.5","","0.0","","","M","","M","0.0","","47","","24","","43",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-02-10","2017","02","10","","-12.6","","-24.1","","-18.4","","36.4","","0.0","","","M","","M","3.9","","51","","17","","41",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-02-11","2017","02","11","","-8.7","","-24.0","","-16.4","","34.4","","0.0","","","M","","M","3.1","","55","","30","","41",""
