﻿Daily Discharge (m3/s) (PARAM = 1) and Daily Water Level (m) (PARAM = 2)
 ID,PARAM,Date,Value,SYM
02HB021,1,1986/08/07,0.222,E
02HB021,1,1986/08/08,0.098,
02HB021,1,1986/08/09,0.077,
02HB021,1,1986/08/10,0.108,
02HB021,1,1986/08/11,0.100,
02HB021,1,1986/08/12,0.071,
02HB021,1,1986/08/13,0.058,
02HB021,1,1986/08/14,0.056,
02HB021,1,1986/08/15,0.045,
02HB021,1,1986/08/16,0.042,
02HB021,1,1986/08/17,0.044,
02HB021,1,1986/08/18,0.042,
02HB021,1,1986/08/19,0.040,
02HB021,1,1986/08/20,0.040,
02HB021,1,1986/08/21,0.041,
02HB021,1,1986/08/22,0.039,
02HB021,1,1986/08/23,0.049,
02HB021,1,1986/08/24,0.043,
02HB021,1,1986/08/25,0.040,
02HB021,1,1986/08/26,0.082,
02HB021,1,1986/08/27,0.082,
02HB021,1,1986/08/28,0.058,
02HB021,1,1986/08/29,0.052,
02HB021,1,1986/08/30,0.052,
02HB021,1,1986/08/31,0.048,
02HB021,1,1986/09/01,0.045,
02HB021,1,1986/09/02,0.041,
02HB021,1,1986/09/03,0.038,
02HB021,1,1986/09/04,0.049,
02HB021,1,1986/09/05,0.043,
02HB021,1,1986/09/06,0.044,
02HB021,1,1986/09/07,0.048,
02HB021,1,1986/09/08,0.047,
02HB021,1,1986/09/09,0.043,
02HB021,1,1986/09/10,0.091,
02HB021,1,1986/09/11,0.315,
02HB021,1,1986/09/12,0.133,
02HB021,1,1986/09/13,0.069,
02HB021,1,1986/09/14,0.061,
02HB021,1,1986/09/15,0.175,
02HB021,1,1986/09/16,0.124,
02HB021,1,1986/09/17,0.072,
02HB021,1,1986/09/18,0.067,
02HB021,1,1986/09/19,0.067,
02HB021,1,1986/09/20,0.086,
02HB021,1,1986/09/21,0.069,
02HB021,1,1986/09/22,0.086,
02HB021,1,1986/09/23,0.098,
02HB021,1,1986/09/24,0.070,
02HB021,1,1986/09/25,0.063,
02HB021,1,1986/09/26,0.066,
02HB021,1,1986/09/27,0.071,
02HB021,1,1986/09/28,0.065,
02HB021,1,1986/09/29,0.262,
02HB021,1,1986/09/30,0.185,
02HB021,1,1986/10/01,0.098,
02HB021,1,1986/10/02,0.086,
02HB021,1,1986/10/03,0.119,
02HB021,1,1986/10/04,0.152,
02HB021,1,1986/10/05,0.120,
02HB021,1,1986/10/06,0.089,
02HB021,1,1986/10/07,0.077,
02HB021,1,1986/10/08,0.073,
02HB021,1,1986/10/09,0.076,
02HB021,1,1986/10/10,0.098,
02HB021,1,1986/10/11,0.071,
02HB021,1,1986/10/12,0.068,
02HB021,1,1986/10/13,0.091,
02HB021,1,1986/10/14,0.167,
02HB021,1,1986/10/15,0.083,
02HB021,1,1986/10/16,0.073,
02HB021,1,1986/10/17,0.072,
02HB021,1,1986/10/18,0.070,
02HB021,1,1986/10/19,0.066,
02HB021,1,1986/10/20,0.064,
02HB021,1,1986/10/21,0.060,
02HB021,1,1986/10/22,0.062,
02HB021,1,1986/10/23,0.061,
02HB021,1,1986/10/24,0.060,
02HB021,1,1986/10/25,0.062,
02HB021,1,1986/10/26,0.066,
02HB021,1,1986/10/27,0.122,
02HB021,1,1986/10/28,0.089,
02HB021,1,1986/10/29,0.071,
02HB021,1,1986/10/30,0.069,
02HB021,1,1986/10/31,0.060,
02HB021,1,1986/11/01,0.066,
