Date,ID,PARAM,Value,Latitude,Longitude,Max Temp,Min Temp,Mean Temp,Heat Deg Days,Cool Deg Days,Total Precip
2000-01-02,08MG012,2,9.209,49.309259999999995,-121.77373,5.3,-1.3,2.0,16.0,0.0,5.0
2000-01-03,08MG012,2,9.188,49.309259999999995,-121.77373,2.2,-1.1,0.6,17.4,0.0,9.0
2000-01-04,08MG012,2,9.175,49.309259999999995,-121.77373,9.1,0.9,5.0,13.0,0.0,10.8
2000-01-05,08MG012,2,9.158,49.309259999999995,-121.77373,7.5,1.6,4.6,13.4,0.0,0.0
2000-01-06,08MG012,2,9.142,49.309259999999995,-121.77373,3.8,0.9,2.4,15.6,0.0,7.8
2000-01-07,08MG012,2,9.121,49.309259999999995,-121.77373,6.6,1.7,4.2,13.8,0.0,4.0
2000-01-08,08MG012,2,9.098,49.309259999999995,-121.77373,8.0,2.7,5.4,12.6,0.0,23.6
2000-01-09,08MG012,2,9.109,49.309259999999995,-121.77373,5.9,0.0,3.0,15.0,0.0,14.0
2000-01-10,08MG012,2,9.112,49.309259999999995,-121.77373,5.5,0.5,3.0,15.0,0.0,0.4
2000-01-11,08MG012,2,9.090,49.309259999999995,-121.77373,2.7,-0.2,1.3,16.7,0.0,2.2
2000-01-12,08MG012,2,9.074,49.309259999999995,-121.77373,3.0,-0.3,1.4,16.6,0.0,10.8
2000-01-13,08MG012,2,9.057,49.309259999999995,-121.77373,3.3,0.1,1.7,16.3,0.0,0.2
2000-01-14,08MG012,2,9.032,49.309259999999995,-121.77373,3.8,0.0,1.9,16.1,0.0,10.0
2000-01-15,08MG012,2,8.949,49.309259999999995,-121.77373,6.2,0.9,3.6,14.4,0.0,1.2
2000-01-16,08MG012,2,8.965,49.309259999999995,-121.77373,6.2,-1.3,3.6,14.4,0.0,1.0
2000-01-17,08MG012,2,8.986,49.309259999999995,-121.77373,9.1,-0.6,4.3,13.7,0.0,0.0
2000-01-18,08MG012,2,8.975,49.309259999999995,-121.77373,4.4,0.2,2.3,15.7,0.0,0.0
2000-01-19,08MG012,2,8.955,49.309259999999995,-121.77373,4.3,-0.6,1.9,16.1,0.0,0.0
2000-01-20,08MG012,2,8.914,49.309259999999995,-121.77373,1.2,-3.3,-1.1,19.1,0.0,0.0
2000-01-21,08MG012,2,8.886,49.309259999999995,-121.77373,1.5,-1.8,-0.2,18.2,0.0,0.4
2000-01-22,08MG012,2,8.860,49.309259999999995,-121.77373,3.4,0.0,1.7,16.3,0.0,0.0
2000-01-23,08MG012,2,8.837,49.309259999999995,-121.77373,5.5,1.7,3.6,14.4,0.0,0.0
2000-01-24,08MG012,2,8.820,49.309259999999995,-121.77373,8.9,2.3,5.6,12.4,0.0,0.0
2000-01-25,08MG012,2,8.782,49.309259999999995,-121.77373,5.6,1.1,3.4,14.6,0.0,3.2
